strain	date	country	division	author	author__url	accession	accession__url
V1249	2014-10-04	Guinea	Conakry	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534541	https://www.ncbi.nlm.nih.gov/nuccore/KR534541
V1331	2014-10-07	Guinea	Kerouane	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534548	https://www.ncbi.nlm.nih.gov/nuccore/KR534548
V1327	2014-10-07	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534591	https://www.ncbi.nlm.nih.gov/nuccore/KR534591
EM_COY_2015_017021	2015-05-25	Guinea	Fria	Quick et al		EM_COY_2015_017021	https://github.com/nickloman/ebov/
EM_COY_2015_013576	2015-03-09	Guinea	Coyah	Quick et al		EM_COY_2015_013576	https://github.com/nickloman/ebov/
PL4432	2015-03-07	Sierra Leone	Kambia	Arias et al		KU296481	https://www.ncbi.nlm.nih.gov/nuccore/KU296481
PL5294	2015-03-24	Sierra Leone	Kambia	Arias et al		KU296764	https://www.ncbi.nlm.nih.gov/nuccore/KU296764
PL5249	2015-03-24	Sierra Leone	Kambia	Arias et al		KU296744	https://www.ncbi.nlm.nih.gov/nuccore/KU296744
EM_COY_2015_017018	2015-05-26	Guinea	Forecariah	Quick et al		EM_COY_2015_017018	https://github.com/nickloman/ebov/
EM_COY_2015_016449	2015-05-11	Guinea	Forecariah	Quick et al		EM_COY_2015_016449	https://github.com/nickloman/ebov/
KT5317	2015-02-24	Sierra Leone	Western Rural	Arias et al		KU296352	https://www.ncbi.nlm.nih.gov/nuccore/KU296352
CON12930	2015-10-13	Guinea	Conakry	Quick et al		CON12930	https://github.com/nickloman/ebov/
IPDPFHguineaSP_GUI_2015_6505	2015-05-03	Guinea	Forecariah	Quick et al		IPDPFHguineaSP_GUI_2015_6505	https://github.com/nickloman/ebov/
EM_COY_2015_016263	2015-05-04	Guinea	Forecariah	Quick et al		EM_COY_2015_016263	https://github.com/nickloman/ebov/
EM_COY_2015_016293	2015-05-06	Guinea	Forecariah	Quick et al		EM_COY_2015_016293	https://github.com/nickloman/ebov/
EM_COY_2015_016236	2015-05-03	Guinea	Forecariah	Quick et al		EM_COY_2015_016236	https://github.com/nickloman/ebov/
EM_COY_2015_015982	2015-04-20	Guinea	Forecariah	Quick et al		EM_COY_2015_015982	https://github.com/nickloman/ebov/
IPDPFHguineaSP_GUI_2015_7070	2015-05-18	Guinea	Forecariah	Quick et al		IPDPFHguineaSP_GUI_2015_7070	https://github.com/nickloman/ebov/
